duAn,huong,phapLy,noBed,soLau,Precinct,District,acreage_value,noBathroom
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Mai Động,Quận Hoàng Mai,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Trương Định,Quận Hai Bà Trưng,103.0,-1.0
MHD Trung Văn,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,105.0,2.0
Khu đô thị mới Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,72.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Phường Tương Mai,Quận Hoàng Mai,41.0,-1.0
The Nine,,,2.0,,Phường Mai Dịch,Quận Cầu Giấy,87.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Tràng Tiền,Quận Hoàn Kiếm,52.0,-1.0
,,,2.0,,Phường Văn Quán,Quận Hà Đông,70.0,-1.0
Xuân Mai Riverside,,,2.0,,Phường Mỗ Lao,Quận Hà Đông,77.0,2.0
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,68.0,-1.0
HH4 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,58.0,2.0
,,,2.0,4.0,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,68.0,-1.0
CT15 Việt Hưng Green Park,,,3.0,,Phường Giang Biên,Quận Long Biên,100.0,-1.0
,,Giấy tờ hợp lệ,3.0,12.0,Phường Mai Động,Quận Hoàng Mai,88.0,-1.0
,,,2.0,,Xã Đặng Xá,Huyện Gia Lâm,60.0,-1.0
Khai Sơn City,,,2.0,,Xã Đông Hội,Huyện Đông Anh,63.0,2.0
Sunshine City,,,3.0,,,Quận Bắc Từ Liêm,106.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,1.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,130.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Phường Dịch Vọng,Quận Cầu Giấy,97.0,-1.0
GoldSilk Complex,,,3.0,,,Quận Hà Đông,100.0,2.0
,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,69.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Yên Hòa,Quận Cầu Giấy,95.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Phú Thượng,Quận Tây Hồ,46.0,-1.0
Legend Tower 109 Nguyễn Tuân,,,2.0,,,Quận Thanh Xuân,73.0,2.0
The Sapphire-Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,75.0,-1.0
PentStudio,,,2.0,,Phường Phú Thượng,Quận Tây Hồ,92.0,2.0
Vinaconex 21,,,2.0,,,Quận Hà Đông,97.0,2.0
Seasons Avenue,,,2.0,,Phường Mỗ Lao,Quận Hà Đông,72.0,-1.0
Imperial Plaza,,,3.0,,Phường Phương Liệt,Quận Thanh Xuân,96.0,2.0
Golden West,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,96.0,2.0
Diamond Goldmark City,,,3.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,139.0,2.0
Lumiere EverGreen,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,42.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,Phường Giáp Bát,Quận Hoàng Mai,70.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,105.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,26.0,Phường Mai Dịch,Quận Cầu Giấy,105.0,-1.0
The London - Vinhomes Ocean Park,,,2.0,,,Huyện Gia Lâm,63.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,9.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,88.0,-1.0
Bamboo Airways Tower,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,97.0,2.0
Vinhomes West Point,,,4.0,,Phường Mễ Trì,Quận Nam Từ Liêm,129.0,3.0
Sunshine Golden River,,,3.0,,Phường Phú Thượng,Quận Tây Hồ,141.0,-1.0
Mỹ Đình Pearl,,,2.0,,Phường Phú Đô,Quận Nam Từ Liêm,78.0,2.0
Xuân Mai Riverside,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,92.0,2.0
Khu đô thị Việt Hưng,,,2.0,,Phường Đức Giang,Quận Long Biên,76.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Giang Biên,Quận Long Biên,73.0,-1.0
,,,2.0,,Phường Tứ Liên,Quận Tây Hồ,79.0,2.0
Rose Town 79 Ngọc Hồi,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,88.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Đại Kim,Quận Hoàng Mai,80.0,-1.0
TNR The Nosta,,,1.0,,,Quận Đống Đa,32.0,1.0
Hà Nội Melody Residences,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,101.0,2.0
Văn Khê,,,2.0,,Phường La Khê,Quận Hà Đông,112.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,30.0,Phường Nhân Chính,Quận Thanh Xuân,130.0,-1.0
VP5 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,58.0,2.0
Chung cư The Wisteria,,,2.0,,,Huyện Hoài Đức,100.0,2.0
Đường Nguyễn Trãi,,,4.0,,Phường Thượng Đình,Quận Thanh Xuân,114.0,-1.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,31.0,1.0
Golden West,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,95.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Dịch Vọng,Quận Cầu Giấy,86.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Láng Hạ,Quận Đống Đa,40.0,-1.0
Handi Resco Lê văn Lương,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,65.0,2.0
Times City - Park Hill,Nam,,3.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,95.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,57.0,1.0
Summit Building,,,2.0,,,Quận Cầu Giấy,86.0,2.0
The Sapphire-Vinhomes Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,43.0,1.0
Imperia Sky Garden,,,2.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,81.0,2.0
An Lạc - Mỹ Đình,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,85.0,-1.0
Tân Việt Tower,,,2.0,,Xã Đức Thượng,Huyện Hoài Đức,78.0,2.0
Sudico Mỹ Đình,Tây,,4.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,125.0,3.0
89 Phùng Hưng,,,3.0,,Phường Phúc La,Quận Hà Đông,81.0,2.0
Ciputra Hà Nội,,,3.0,,,Quận Tây Hồ,121.0,2.0
The Sapphire-Vinhomes Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,32.0,1.0
Kim Văn Kim Lũ,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,56.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Phường Trung Hòa,Quận Cầu Giấy,117.0,-1.0
The Pavilion,,,2.0,,,Huyện Gia Lâm,70.0,-1.0
,,,2.0,,Phường Yên Sở,Quận Hoàng Mai,67.0,2.0
The Golden Armor,,,2.0,,Phường Giảng Võ,Quận Ba Đình,83.0,2.0
,,,3.0,,Phường Xuân Tảo,Quận Bắc Từ Liêm,105.0,-1.0
Usilk City,,,2.0,,Phường La Khê,Quận Hà Đông,88.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Đông Ngạc,Quận Bắc Từ Liêm,70.0,-1.0
Trung Hòa Nhân Chính,,,2.0,,,Quận Cầu Giấy,87.0,2.0
Thành Phố Giao Lưu,,,2.0,,,Quận Bắc Từ Liêm,70.0,2.0
QMS Tower,Đông,,3.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,113.0,3.0
Bea Sky,,,3.0,,Phường Đại Kim,Quận Hoàng Mai,88.0,2.0
,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,21.0,Xã Vân Canh,Huyện Hoài Đức,66.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,9.0,Phường Yên Nghĩa,Quận Hà Đông,70.0,-1.0
HH4 Linh Đàm,,,2.0,,,Quận Hoàng Mai,56.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,89.0,-1.0
B1-B2 Tây Nam Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,96.0,2.0
,,,1.0,,Phường Phương Liên,Quận Đống Đa,25.0,1.0
Anland LakeView,,,2.0,,Phường Dương Nội,Quận Hà Đông,74.0,2.0
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Ngã Tư Sở,Quận Đống Đa,50.0,-1.0
Tây Hà Tower,,,3.0,,,Quận Nam Từ Liêm,117.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Định Công,Quận Hoàng Mai,50.0,-1.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Mễ Trì,Quận Nam Từ Liêm,89.0,-1.0
Goldmark City,,,3.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,130.0,2.0
Summit Building,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,89.0,2.0
,,,2.0,1.0,Phường Kim Liên,Quận Đống Đa,66.0,-1.0
Văn Khê,,,3.0,,Phường La Khê,Quận Hà Đông,112.0,2.0
KĐT Trung Yên,,,2.0,,,Quận Cầu Giấy,65.0,2.0
Packexim,,,3.0,,Phường Phú Thượng,Quận Tây Hồ,123.0,2.0
Kim Văn Kim Lũ,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,55.0,2.0
,,,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,138.0,-1.0
,,,3.0,,Phường Thanh Xuân Nam,Quận Thanh Xuân,120.0,2.0
Grand Sunlake,,,3.0,,Phường Văn Quán,Quận Hà Đông,96.0,2.0
GoldSeason,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,73.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,69.0,-1.0
,Tây,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Phương Liên,Quận Đống Đa,42.0,-1.0
,,,3.0,,Phường Đại Kim,Quận Hoàng Mai,85.0,-1.0
Vinhomes D'Capitale,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,76.0,2.0
Bamboo Airways Tower,,,3.0,,,Quận Cầu Giấy,135.0,2.0
173 Xuân Thủy,,,3.0,,,Quận Cầu Giấy,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,25.0,Phường Định Công,Quận Hoàng Mai,100.0,-1.0
Chung cư The Senique Hanoi,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,54.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,12.0,Phường Đại Mỗ,Quận Nam Từ Liêm,100.0,-1.0
Dolphin Plaza,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,156.0,2.0
Mỹ Đình Plaza 2,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,105.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Kim Liên,Quận Đống Đa,45.0,-1.0
KĐTM Cầu Bươu,,,2.0,,Xã Tân Triều,Huyện Thanh Trì,86.0,2.0
Eco Green City,,,2.0,,,Huyện Thanh Trì,67.0,2.0
,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,96.0,-1.0
Phường Hoàng Liệt,,,2.0,,,Quận Hoàng Mai,67.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Thanh Xuân Bắc,Quận Thanh Xuân,51.0,-1.0
,,,2.0,16.0,Phường Thạch Bàn,Quận Long Biên,70.0,-1.0
,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,101.0,2.0
Times Tower - HACC1 Complex Building,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,128.0,2.0
,,,2.0,1.0,Phường Mai Dịch,Quận Cầu Giấy,70.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,67.0,-1.0
,,,2.0,,Phường Nghĩa Đô,Quận Cầu Giấy,55.0,1.0
The Zenpark,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,55.0,1.0
,,,2.0,,Phường Yên Sở,Quận Hoàng Mai,55.0,2.0
Sun Square,,,3.0,,,Quận Nam Từ Liêm,91.0,2.0
Eco Lake View,,,3.0,,,Quận Hoàng Mai,90.0,2.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,63.0,2.0
Đường Nguyễn Trãi,,,2.0,,Phường Thượng Đình,Quận Thanh Xuân,110.0,-1.0
Berriver Long Biên,,,3.0,,Phường Bồ Đề,Quận Long Biên,85.0,2.0
HH3 Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,83.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phường Văn Quán,Quận Hà Đông,100.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,21.0,Phường Bồ Đề,Quận Long Biên,118.0,-1.0
,,,2.0,6.0,Phường Vĩnh Phúc,Quận Ba Đình,50.0,-1.0
Vinhomes Smart City,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,93.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,72.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Giảng Võ,Quận Ba Đình,60.0,-1.0
HH2 Bắc Hà,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,133.0,2.0
Eurowindow River Park,,,2.0,,Xã Đông Hội,Huyện Đông Anh,68.0,2.0
Goldmark City,,,2.0,,,Quận Bắc Từ Liêm,78.0,2.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,67.0,2.0
Dolphin Plaza,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,156.0,2.0
Hà Nội Melody Residences,Đông,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,68.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,108.0,-1.0
Thành Phố Giao Lưu,,,2.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,71.0,2.0
The Sun Mễ Trì,,,3.0,,Phường Mễ Trì,Quận Nam Từ Liêm,98.0,2.0
AQH Riverside,,,2.0,,Phường Thượng Thanh,Quận Long Biên,63.0,2.0
Ecolife Tây Hồ,,,3.0,,Phường Xuân La,Quận Tây Hồ,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Phương Liên,Quận Đống Đa,75.0,-1.0
GoldSeason,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,66.0,2.0
,,,2.0,,Phường Khương Mai,Quận Thanh Xuân,86.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường La Khê,Quận Hà Đông,75.0,-1.0
Khai Sơn City,,,3.0,,Phường Ngọc Thụy,Quận Long Biên,101.0,2.0
Hei Tower Điện Lực,,,3.0,,,Quận Thanh Xuân,96.0,2.0
Ecolife Capitol,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,103.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,Phường Minh Khai,Quận Hai Bà Trưng,75.0,-1.0
57 Vũ Trọng Phụng,,,3.0,,,Quận Thanh Xuân,108.0,2.0
,,,3.0,17.0,Phường Trung Hòa,Quận Cầu Giấy,153.0,-1.0
C14 - Bộ Công An,,,2.0,,Phường Trung Văn,Quận Nam Từ Liêm,83.0,2.0
,,,2.0,25.0,Phường Yên Sở,Quận Hoàng Mai,80.0,-1.0
Tòa nhà 197 Trần Phú,,,2.0,,,Quận Hà Đông,89.0,2.0
Phố Doãn Kế Thiện,,,2.0,,Phường Mai Dịch,Quận Cầu Giấy,60.0,-1.0
Cầu Giấy Center Point,,,3.0,,Phường Quan Hoa,Quận Cầu Giấy,105.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,1.0,Phường Vĩnh Tuy,Quận Hai Bà Trưng,50.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,1.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,100.0,-1.0
,,,3.0,,Xã Ngũ Hiệp,Huyện Thanh Trì,86.0,-1.0
,,,2.0,,Phường Văn Quán,Quận Hà Đông,70.0,-1.0
Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,61.0,-1.0
Green Park Tower,,,3.0,,,Quận Cầu Giấy,104.0,2.0
Imperia Smart City,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,75.0,2.0
The Garden Hills - 99 Trần Bình,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,68.0,2.0
C14 - Bộ Công An,,,2.0,,Phường Trung Văn,Quận Nam Từ Liêm,75.0,-1.0
Imperia Smart City,,,3.0,,,Quận Nam Từ Liêm,75.0,2.0
Vinhomes Gardenia,,,3.0,,,Quận Nam Từ Liêm,100.0,2.0
The Artemis,,,2.0,,,Quận Thanh Xuân,80.0,2.0
FLC Complex Phạm Hùng,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,95.0,2.0
The One Residence - Gamuda Garden,,,2.0,,,Quận Hoàng Mai,65.0,2.0
Hòa Bình Green City,,,2.0,,,Quận Hai Bà Trưng,95.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Phương Mai,Quận Đống Đa,100.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,Phường Kim Mã,Quận Ba Đình,110.0,-1.0
,,,2.0,,Phường Phương Liên,Quận Đống Đa,40.0,1.0
,Nam,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Phường Xuân La,Quận Tây Hồ,136.0,-1.0
Gemek Premium,,,2.0,,,Huyện Hoài Đức,66.0,2.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,46.0,1.0
The Nine,,,3.0,,Phường Mai Dịch,Quận Cầu Giấy,99.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,48.0,1.0
Khu nhà ở Hưng Thịnh,,,2.0,,,Quận Hà Đông,56.0,1.0
KĐT mới Cầu Giấy,,,2.0,,,Quận Cầu Giấy,95.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,86.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Thành Công,Quận Ba Đình,70.0,-1.0
Mipec Rubik 360,Nam,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,108.0,2.0
Mulberry Lane,,,2.0,,Phường Mỗ Lao,Quận Hà Đông,100.0,-1.0
The Tonkin - Vinhomes Smart City,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,83.0,2.0
Cầu Giấy Center Point,,,3.0,,Phường Quan Hoa,Quận Cầu Giấy,127.0,2.0
N01-T1 Ngoại Giao Đoàn,,,2.0,,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,95.0,2.0
HH1 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,46.0,1.0
Thăng Long Number One,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,117.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,15.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,115.0,-1.0
Rice City Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,57.0,1.0
Dolphin Plaza,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,156.0,2.0
,,Giấy tờ hợp lệ,2.0,5.0,Phường Khương Trung,Quận Thanh Xuân,30.0,-1.0
The Zei Mỹ Đình,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,93.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Thanh Nhàn,Quận Hai Bà Trưng,65.0,-1.0
,,,3.0,8.0,Phường Ngọc Thụy,Quận Long Biên,82.0,-1.0
The Pride,,,2.0,,,Quận Hà Đông,74.0,2.0
A10-A14 Nam Trung Yên,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,55.0,1.0
Eco City Việt Hưng,,,2.0,,Phường Giang Biên,Quận Long Biên,78.0,2.0
Khu đô thị Mỹ Đình Sông Đà,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,114.0,-1.0
Lumi Hanoi,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,63.0,2.0
MHD Trung Văn,,,4.0,,Phường Trung Văn,Quận Nam Từ Liêm,136.0,-1.0
Thăng Long Number One,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,120.0,2.0
Thanh Hà Mường Thanh,,,2.0,,Phường Kiến Hưng,Quận Hà Đông,65.0,2.0
Pandora 53 Triều Khúc,,,2.0,,Phường Thanh Xuân Nam,Quận Thanh Xuân,82.0,2.0
Chung cư 60 Hoàng Quốc Việt,,,3.0,,,Quận Cầu Giấy,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,12.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,110.0,-1.0
The Sapphire-Vinhomes Smart City,,,2.0,,,Quận Nam Từ Liêm,48.0,1.0
Seasons Avenue,,,2.0,,Phường Mỗ Lao,Quận Hà Đông,80.0,-1.0
Roman Plaza,,,2.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,69.0,2.0
Vinhomes Ocean Park,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,47.0,-1.0
Vinhomes Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,41.0,1.0
,,,3.0,,Phường Quán Thánh,Quận Ba Đình,85.0,2.0
Hà Nội Melody Residences,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,68.0,2.0
Tecco Garden,,,3.0,,Xã Tứ Hiệp,Huyện Thanh Trì,127.0,-1.0
,,,1.0,2.0,Phường Xuân La,Quận Tây Hồ,40.0,-1.0
Packexim,,,3.0,,Phường Phú Thượng,Quận Tây Hồ,123.0,2.0
Golden West,,,3.0,,,Quận Thanh Xuân,96.0,2.0
,,Giấy tờ hợp lệ,3.0,1.0,Xã Tứ Hiệp,Huyện Thanh Trì,86.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Mai Dịch,Quận Cầu Giấy,50.0,-1.0
The Pride,,,2.0,,Phường La Khê,Quận Hà Đông,75.0,2.0
Nam La Khê,,,2.0,,Phường La Khê,Quận Hà Đông,75.0,2.0
,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,70.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Khâm Thiên,Quận Đống Đa,57.0,-1.0
Oriental Westlake,,,2.0,,Phường Bưởi,Quận Tây Hồ,76.0,2.0
Vinhomes Ocean Park Gia Lâm,Đông,,2.0,,Xã Dương Xá,Huyện Gia Lâm,61.0,2.0
Xuân Mai Sparks Tower,,,2.0,,Phường Dương Nội,Quận Hà Đông,55.0,1.0
The Sapphire-Vinhomes Smart City,,,1.0,,,Quận Nam Từ Liêm,43.0,1.0
,,,2.0,2.0,Phường Bưởi,Quận Tây Hồ,88.0,-1.0
Mỹ Đình Pearl,,,2.0,,Phường Phú Đô,Quận Nam Từ Liêm,73.0,2.0
,,,2.0,,Phường Nghĩa Đô,Quận Cầu Giấy,72.0,-1.0
Nam Trung Yên,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,76.0,2.0
Hope Residence,,,2.0,,,Quận Long Biên,70.0,2.0
Feliz Homes,,,2.0,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,67.0,2.0
The Pavilion - Vinhomes Ocean Park,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,83.0,2.0
GoldSilk Complex,,,3.0,,Phường Vạn Phúc,Quận Hà Đông,127.0,3.0
Sunshine Garden,,,3.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,128.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Dịch Vọng,Quận Cầu Giấy,108.0,-1.0
Eco Dream,,,1.0,,,Huyện Thanh Trì,46.0,-1.0
Hà Nội Homeland,,,2.0,,Phường Thượng Thanh,Quận Long Biên,65.0,2.0
Sunshine City,,,3.0,,,Quận Bắc Từ Liêm,102.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,23.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,81.0,-1.0
Imperia Sola Park,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phường Thành Công,Quận Ba Đình,38.0,-1.0
Golden Park Tower,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,153.0,-1.0
Goldmark City,,,2.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,83.0,2.0
Gemek Tower,Nam,,2.0,,Xã An Khánh,Huyện Hoài Đức,65.0,2.0
,,,3.0,10.0,Phường Khương Đình,Quận Thanh Xuân,85.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Thanh Xuân Bắc,Quận Thanh Xuân,90.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Láng Thượng,Quận Đống Đa,70.0,-1.0
Summit Building,,,2.0,,,Quận Cầu Giấy,86.0,2.0
,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,107.0,2.0
Bamboo Airways Tower,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,96.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,82.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,70.0,-1.0
,,,3.0,12.0,Phường Cầu Diễn,Quận Nam Từ Liêm,135.0,-1.0
Grand Sunlake,,,2.0,,Phường Văn Quán,Quận Hà Đông,92.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,15.0,Phường Phú La,Quận Hà Đông,97.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,122.0,-1.0
,,,3.0,,Phường Xuân Tảo,Quận Bắc Từ Liêm,101.0,2.0
ĐTM Dịch Vọng,,,2.0,,,Quận Cầu Giấy,86.0,2.0
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Trung Hòa,Quận Cầu Giấy,117.0,-1.0
